"","Value","Age","Overall","Potential","Nationality","International.Reputation","Preferred.Foot.Right","Weak.Foot","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","DefensiveAwareness","Wage","Special","Height","Weight","Release.Clause"
"2",9.4e+07,27,89,91,"Brazil",3,0,3,87,82,93,88,88,29,2e+05,1583,188,86,1.81e+08
"3",13500000,35,90,90,"Germany",5,1,4,88,88,91,89,88,17,86000,1534,193,93,22300000
"4",625000,35,75,75,"Mexico",1,1,3,75,71,81,75,74,29,10000,1531,184,81,1100000
"5",3.3e+07,27,83,85,"England",3,0,4,83,78,87,80,86,21,83000,1495,185,77,65200000
"6",4.8e+07,24,84,88,"Cameroon",3,1,3,84,80,87,83,86,12,18000,1490,190,93,70800000
"7",1600000,38,78,78,"Chile",3,1,3,77,78,84,78,78,15,13000,1480,184,80,3400000
"8",49500000,25,84,89,"France",2,1,4,83,81,85,84,86,23,45000,1456,191,89,87900000
"9",33500000,28,84,85,"Argentina",3,1,4,85,83,82,83,85,11,81000,1449,195,88,66200000
"10",5e+06,29,76,76,"Argentina",1,1,3,78,75,85,75,79,23,40000,1449,196,90,9500000
"11",9.9e+07,29,90,92,"Germany",4,1,4,88,85,88,88,90,25,250000,1444,187,85,210400000
"12",2100000,32,74,74,"Germany",1,1,5,73,71,72,72,76,30,16000,1434,186,83,3800000
"13",15500000,34,88,88,"Costa Rica",3,1,3,89,84,75,87,89,28,130000,1428,185,80,28700000
"14",2.8e+07,30,84,84,"Spain",4,1,3,86,79,76,79,87,25,120000,1425,192,76,51800000
"15",2100000,32,74,74,"Argentina",1,1,3,79,69,68,66,80,23,10000,1424,183,76,3200000
"16",1.12e+08,28,91,93,"Slovenia",5,1,3,87,92,78,90,90,27,130000,1413,188,87,2.38e+08
"17",4100000,27,74,77,"Ghana",1,1,3,74,70,77,75,74,24,700,1410,185,79,9300000
"18",5500000,26,75,78,"Argentina",1,1,3,79,69,76,71,79,20,11000,1407,188,83,8700000
"19",1900000,35,79,79,"Argentina",1,1,3,78,77,71,81,79,26,26000,1403,193,94,3e+06
"20",8.2e+07,28,89,90,"Brazil",3,1,3,86,86,84,90,89,15,190000,1393,191,91,157900000
"21",2300000,35,80,80,"Uruguay",3,1,2,78,80,72,82,79,12,32000,1389,190,74,4600000
"22",1.2e+07,28,78,80,"Germany",1,1,4,73,72,86,74,85,29,22000,1387,185,88,22500000
"23",3700000,30,75,75,"Spain",1,1,3,73,77,74,71,75,20,22000,1379,185,73,7800000
"25",119500000,22,89,93,"Italy",3,1,3,91,83,79,85,90,20,110000,1377,196,90,2.3e+08
"26",2.3e+07,30,82,83,"Portugal",2,0,2,84,78,70,80,86,13,60000,1376,184,81,45400000
"27",13500000,34,87,87,"France",4,0,1,88,83,65,84,90,29,125000,1372,188,82,25700000
"28",3600000,34,80,80,"Spain",2,1,3,81,79,77,77,82,23,48000,1370,190,80,6800000
"29",8500000,33,81,81,"Argentina",1,1,3,82,77,76,80,83,22,14000,1368,188,84,1.7e+07
"30",1.8e+07,32,83,83,"Spain",2,1,3,85,83,78,81,83,24,37000,1368,189,87,37800000
"31",1e+07,33,82,82,"Portugal",3,0,2,82,80,77,80,83,14,51000,1368,190,84,1.7e+07
"33",1e+06,31,71,71,"Argentina",1,1,3,71,69,73,70,71,29,7000,1362,184,76,1400000
"34",9e+06,34,85,85,"Denmark",2,1,3,84,78,80,83,90,14,115000,1358,189,89,17100000
"35",2.8e+07,29,83,84,"Germany",3,1,3,85,80,76,83,85,27,87000,1357,190,83,55300000
"36",26500000,32,85,85,"Switzerland",3,1,4,79,81,84,86,86,9,40000,1356,183,79,45100000
"37",8500000,29,77,79,"Australia",1,1,4,77,75,82,76,79,10,25000,1354,184,82,18500000
"38",325000,34,71,71,"South Africa",2,1,5,71,69,90,64,75,17,500,1351,181,81,715000
"39",1.1e+07,27,77,81,"Switzerland",1,1,4,77,75,73,75,79,20,20000,1348,189,80,22800000
"40",2800000,32,75,75,"Spain",1,1,4,75,73,69,73,75,21,9000,1347,180,76,4500000
"41",8e+06,21,76,79,"Brazil",1,1,3,76,77,77,76,74,10,7000,1346,190,88,15800000
"44",475000,36,74,74,"Denmark",1,1,3,74,72,76,74,74,26,7000,1342,188,78,594000
"47",950000,29,69,69,"Scotland",1,1,3,69,70,71,63,71,19,18000,1340,183,84,1700000
"48",825000,37,76,76,"Uruguay",1,1,3,76,72,73,78,76,10,7000,1339,188,81,1200000
"49",1600000,38,78,78,"Mexico",1,1,4,80,80,70,75,77,26,8000,1339,186,85,2700000
"50",5e+06,21,72,85,"Argentina",1,1,3,71,70,69,74,73,24,6000,1335,187,76,10600000
"51",3.5e+07,26,82,87,"Croatia",2,1,3,81,78,74,80,85,24,1000,1335,187,79,79600000
"52",7e+06,24,75,81,"Netherlands",1,1,3,75,73,77,74,77,12,10000,1333,193,90,11200000
"53",1.6e+07,31,82,82,"Brazil",2,1,2,83,79,78,79,81,17,115000,1333,190,84,32800000
"54",1.7e+07,30,81,81,"Spain",1,1,2,82,78,67,81,83,14,28000,1331,182,78,35700000
